x1(0);x2(0);x1*;x2*;y;Liczba wywołań;Czy Globalne
-0,245873;0,550762;0,000127058;0,774762;0,619838;246;NIE
0,624338;0,815901;0,774338;0,774901;1,23968;150;NIE
0,509212;-0,834025;0,775212;-0,775025;1,23969;266;NIE
-0,839334;-0,323828;-0,774334;0,000171597;0,619843;324;NIE
0,690768;0,706398;0,774768;0,774398;1,23968;84;NIE
-0,980377;0,481368;-0,774377;0,774368;1,23968;293;NIE
0,740668;-0,46085;0,774668;-0,77485;1,23968;314;NIE
0,893794;-0,801913;0,774794;-0,774913;1,23968;119;NIE
0,25839;0,251086;0,0053902;8,57906e-05;0,00092526;253;TAK
-0,981709;0,0356767;-0,774709;-0,000323341;0,619841;207;NIE
0,157674;-0,642544;-0,000325709;-0,774544;0,619841;158;NIE
-0,2838;-0,279786;-0,00480019;-0,000786435;0,000753321;279;TAK
0,170005;-0,740988;4,70943e-06;-0,774988;0,61984;170;NIE
0,639355;0,471267;0,774355;0,774267;1,23968;303;NIE
-0,388387;-0,0508633;-0,00538726;0,000136704;0,000924614;383;TAK
0,065479;0,396593;0,000478954;0,00459267;0,000678877;392;TAK
-0,468974;0,589079;-0,774974;0,775079;1,23968;306;NIE
-0,714066;-0,147479;-0,775066;-0,000478927;0,619848;147;NIE
0,219544;0,930236;-0,000456177;0,774236;0,619851;220;NIE
0,457011;-0,143557;0,775011;0,000442664;0,619846;318;NIE
-0,5078;-0,795159;-0,7748;-0,775159;1,23968;267;NIE
-0,6952;-0,824132;-0,7752;-0,775132;1,23969;80;NIE
0,587189;-0,581368;0,775189;-0,774368;1,23969;193;NIE
-0,686776;0,325813;-0,774776;-0,000186882;0,619838;326;NIE
0,271483;0,86631;0,000482542;0,77431;0,61985;271;NIE
-0,696391;0,0252476;-0,774391;0,00024758;0,619842;78;NIE
-0,223856;-0,555132;0,000144159;-0,775132;0,619843;224;NIE
-0,530836;-0,767815;-0,774836;-0,774815;1,23968;244;NIE
0,931712;-0,333856;0,774712;0,000143962;0,619838;334;NIE
-0,178363;-0,961027;-0,000362888;-0,775027;0,619844;186;NIE
0,633229;0,844833;0,774229;0,774833;1,23968;141;NIE
0,359254;0,134821;0,00525378;-0,000178729;0,000879819;354;TAK
-0,123267;0,485015;-0,000266682;0,775015;0,619842;290;NIE
-0,143949;0,0315664;-0,00494879;-0,000433552;0,00078573;139;TAK
0,857648;-0,368666;0,774648;0,000333982;0,619841;369;NIE
-0,721038;-0,939825;-0,775038;-0,774825;1,23968;165;NIE
0,280315;-0,740409;0,000314719;-0,774409;0,619843;280;NIE
0,70695;-0,693257;0,77495;-0,774257;1,23968;81;NIE
-0,00254523;-0,531357;0,000454766;-0,774357;0,619848;243;NIE
-0,630959;0,746972;-0,774959;0,774972;1,23968;144;NIE
-0,581696;-0,459479;-0,774696;-0,774479;1,23968;315;NIE
0,379119;0,458424;0,000119004;0,774424;0,61984;379;NIE
0,256733;0,198288;0,00473316;0,000288476;0,000715933;252;TAK
0,285065;-0,365404;6,50487e-05;-0,00540353;0,000929741;360;TAK
0,183786;0,0233022;0,00478568;0,000302239;0,000732105;179;TAK
0,609915;-0,347211;0,774915;-0,000211229;0,61984;347;NIE
0,0154318;0,0565681;0,000431767;0,00556811;0,000993025;51;TAK
-0,44784;-0,14635;-0,77484;-0,00034953;0,619842;327;NIE
0,702779;0,792211;0,774779;0,775211;1,23968;72;NIE
-0,924941;-0,0548851;-0,774941;0,000114913;0,619839;150;NIE
0,990495;0,287895;0,774495;-0,000105123;0,619839;288;NIE
-0,247394;0,508908;-0,000393724;0,774908;0,619843;266;NIE
-0,519585;0,191629;-0,774585;-0,000371493;0,619842;255;NIE
0,507745;0,470869;0,774745;0,774869;1,23968;304;NIE
-0,438912;0,00216464;-0,774912;0,000164643;0,619839;336;NIE
0,893996;-0,105845;0,774996;0,000155314;0,61984;119;NIE
-0,887589;0,325615;-0,774589;-0,000385242;0,619842;326;NIE
-0,0763901;-0,192857;-0,000390113;-0,00485704;0,00075595;188;TAK
0,652304;0,438979;0,774304;0,774979;1,23968;336;NIE
-0,988076;0,0266183;-0,775076;-0,00038172;0,619846;213;NIE
0,473857;-0,980128;0,774857;-0,775128;1,23968;301;NIE
-0,609056;-0,367233;-0,775056;-0,000232719;0,619843;367;NIE
0,213988;0,517012;-1,2449e-05;0,775012;0,61984;258;NIE
-0,246698;-0,32958;0,000301737;-0,00558004;0,000994222;324;TAK
0,188599;-0,425447;-0,000400628;-0,774447;0,619845;349;NIE
-0,0472129;-0,592211;-0,0002129;-0,775211;0,619846;183;NIE
-0,844195;-0,928787;-0,775195;-0,774787;1,23968;154;NIE
0,475273;0,403594;0,774273;-0,00040648;0,619849;404;NIE
-0,977892;0,040207;-0,774892;0,000206964;0,61984;203;NIE
0,11896;-0,87118;-3,96206e-05;-0,77518;0,619844;119;NIE
-0,657406;0,634906;-0,774406;0,774906;1,23968;140;NIE
0,723241;-0,0830751;0,774241;-7,50794e-05;0,619844;83;NIE
0,974066;0,576387;0,775066;0,774387;1,23968;199;NIE
0,284058;0,74961;5,79821e-05;0,77461;0,619838;284;NIE
0,92091;0,231008;0,77491;7,69502e-06;0,619838;231;NIE
0,750406;0,197398;0,774406;0,00039757;0,619845;197;NIE
-0,802706;0,199648;-0,774706;-0,000351706;0,619841;200;NIE
-0,0616061;-0,733403;0,000393906;-0,774403;0,619845;62;NIE
-0,912325;-0,0568032;-0,774325;0,000196759;0,619843;138;NIE
0,0509477;-0,269444;-5,23392e-05;-0,00544387;0,000943625;264;TAK
-0,735833;0,818384;-0,774833;0,774384;1,23968;44;NIE
0,568456;-0,887111;0,774456;-0,775111;1,23968;206;NIE
0,736197;0,408709;0,775197;-0,000290858;0,619847;409;NIE
0,499238;-0,634605;0,774238;-0,774605;1,23968;275;NIE
0,346792;0,77297;-0,000207786;0,77497;0,619841;347;NIE
-0,205584;-0,809829;0,000416346;-0,774829;0,619843;206;NIE
-0,743719;-0,648154;-0,774719;-0,775154;1,23968;127;NIE
0,661088;-0,309971;0,775088;2,87207e-05;0,619842;310;NIE
0,392056;0,0238008;0,00505614;-0,000199188;0,0008152;387;TAK
-0,306316;0,86843;-0,000315589;0,77443;0,619843;306;NIE
-0,995409;0,149798;-0,774409;-0,000202462;0,619841;221;NIE
0,345987;-0,892177;-1,29591e-05;-0,775177;0,619844;346;NIE
-0,0984783;-0,520696;-0,000478304;-0,774696;0,619844;254;NIE
0,825812;-0,228079;0,774812;-7,94283e-05;0,619838;228;NIE
-0,931459;-0,741608;-0,774459;-0,774608;1,23968;157;NIE
0,219539;-0,880147;-0,000460788;-0,775147;0,61985;220;NIE
-0,081969;0,765943;3,10198e-05;0,774943;0,619839;82;NIE
0,0539285;-0,378112;-7,14955e-05;-0,00511176;0,000832103;373;TAK
-0,545035;-0,0467999;-0,775035;0,000200123;0,619842;230;NIE
-0,13581;0,445945;0,000190469;0,774945;0,61984;329;NIE
